order_id,customer_id,store_id,order_date,order_status,payment_method,shipping_cost
10001,5007,103,2024-01-01,Completed,Apple Pay,0.0
10002,5038,105,2024-01-01,Completed,Bank Transfer,0.0
10003,6033,101,2024-01-01,Completed,PayPal,14.99
10004,6294,101,2024-01-01,Completed,Apple Pay,0.0
10005,6498,101,2024-01-01,Completed,Apple Pay,0.0
10006,5751,102,2024-01-02,Completed,Bank Transfer,0.0
10007,5665,101,2024-01-02,Completed,Bank Transfer,24.99
10008,5438,101,2024-01-02,Returned,PayPal,24.99
10009,6133,101,2024-01-02,Completed,PayPal,9.99
10010,6043,101,2024-01-02,Completed,Credit Card,9.99
10011,5225,101,2024-01-02,Completed,Bank Transfer,0.0
10012,5438,101,2024-01-02,Completed,Credit Card,9.99
10013,5587,101,2024-01-02,Completed,Apple Pay,0.0
10014,5850,102,2024-01-03,Completed,Store Financing,0.0
10015,5335,101,2024-01-03,Completed,Apple Pay,14.99
10016,5754,101,2024-01-03,Completed,Bank Transfer,24.99
10017,5891,101,2024-01-03,Completed,PayPal,9.99
10018,5897,101,2024-01-03,Completed,PayPal,9.99
10019,6426,102,2024-01-04,Completed,Bank Transfer,0.0
10020,5751,101,2024-01-04,Completed,PayPal,24.99
10021,6268,101,2024-01-04,Completed,PayPal,24.99
10022,5459,104,2024-01-04,Completed,Store Financing,0.0
10023,5225,101,2024-01-04,Completed,Bank Transfer,14.99
10024,5511,106,2024-01-04,Cancelled,Store Financing,0.0
10025,5555,101,2024-01-04,Completed,Credit Card,9.99
10026,5318,107,2024-01-05,Completed,Bank Transfer,0.0
10027,6474,101,2024-01-05,Completed,Bank Transfer,24.99
10028,5372,101,2024-01-05,Cancelled,Credit Card,9.99
10029,5932,101,2024-01-05,Completed,PayPal,14.99
10030,6426,102,2024-01-05,Completed,Store Financing,0.0
10031,5224,101,2024-01-05,Completed,Apple Pay,24.99
10032,6010,101,2024-01-05,Completed,Apple Pay,9.99
10033,5645,104,2024-01-05,Returned,Apple Pay,0.0
10034,6200,101,2024-01-05,Completed,Store Financing,0.0
10035,5912,101,2024-01-06,Completed,Credit Card,14.99
10036,5201,105,2024-01-06,Completed,Apple Pay,0.0
10037,6472,101,2024-01-06,Completed,Apple Pay,0.0
10038,5783,101,2024-01-06,Completed,Store Financing,0.0
10039,5892,101,2024-01-06,Completed,PayPal,24.99
10040,5808,103,2024-01-06,Completed,Credit Card,0.0
10041,5229,101,2024-01-06,Completed,Credit Card,9.99
10042,5325,101,2024-01-06,Completed,Store Financing,9.99
10043,6435,108,2024-01-06,Completed,Bank Transfer,0.0
10044,6120,101,2024-01-06,Completed,Credit Card,24.99
10045,5547,101,2024-01-06,Completed,Apple Pay,24.99
10046,6498,101,2024-01-06,Completed,Bank Transfer,0.0
10047,5229,101,2024-01-07,Completed,Bank Transfer,24.99
10048,5466,101,2024-01-07,Cancelled,PayPal,14.99
10049,5869,101,2024-01-07,Completed,Bank Transfer,14.99
10050,5751,101,2024-01-07,Completed,Store Financing,0.0
10051,5516,101,2024-01-07,Completed,Credit Card,9.99
10052,5986,101,2024-01-07,Completed,Apple Pay,9.99
10053,6209,103,2024-01-07,Completed,Credit Card,0.0
10054,5892,105,2024-01-07,Completed,Store Financing,0.0
10055,5675,101,2024-01-07,Completed,Apple Pay,0.0
10056,5067,102,2024-01-08,Completed,PayPal,0.0
10057,5605,101,2024-01-08,Completed,Credit Card,9.99
10058,5215,101,2024-01-08,Completed,Apple Pay,0.0
10059,6215,104,2024-01-08,Completed,Credit Card,0.0
10060,6170,101,2024-01-08,Completed,Store Financing,14.99
10061,5357,106,2024-01-09,Completed,Apple Pay,0.0
10062,6262,101,2024-01-09,Completed,PayPal,24.99
10063,5754,106,2024-01-09,Completed,Bank Transfer,0.0
10064,6043,101,2024-01-09,Completed,Credit Card,0.0
10065,5645,104,2024-01-09,Completed,Credit Card,0.0
10066,5065,101,2024-01-09,Returned,Store Financing,0.0
10067,5168,101,2024-01-09,Returned,Credit Card,24.99
10068,6170,102,2024-01-09,Completed,Bank Transfer,0.0
10069,6230,101,2024-01-09,Completed,PayPal,14.99
10070,5509,108,2024-01-10,Completed,Bank Transfer,0.0
10071,5645,101,2024-01-10,Completed,Store Financing,14.99
10072,5555,102,2024-01-10,Completed,Apple Pay,0.0
10073,5225,108,2024-01-10,Completed,PayPal,0.0
10074,5229,101,2024-01-10,Completed,Bank Transfer,9.99
10075,5020,108,2024-01-10,Completed,Apple Pay,0.0
10076,5277,101,2024-01-10,Completed,PayPal,9.99
10077,5459,101,2024-01-10,Completed,PayPal,14.99
10078,5783,101,2024-01-10,Completed,PayPal,0.0
10079,5077,102,2024-01-11,Completed,Apple Pay,0.0
10080,6073,108,2024-01-11,Completed,Bank Transfer,0.0
10081,5862,101,2024-01-11,Completed,Store Financing,9.99
10082,6435,101,2024-01-11,Completed,Store Financing,24.99
10083,6094,101,2024-01-11,Completed,PayPal,9.99
10084,6066,101,2024-01-11,Completed,Bank Transfer,0.0
10085,5753,103,2024-01-11,Completed,Apple Pay,0.0
10086,6048,103,2024-01-11,Completed,Store Financing,0.0
10087,6435,107,2024-01-11,Completed,Apple Pay,0.0
10088,6172,101,2024-01-12,Cancelled,Store Financing,0.0
10089,6435,101,2024-01-12,Completed,Apple Pay,24.99
10090,6018,101,2024-01-12,Completed,Bank Transfer,24.99
10091,5077,101,2024-01-12,Completed,Credit Card,14.99
10092,5363,103,2024-01-12,Completed,Store Financing,0.0
10093,5209,101,2024-01-12,Completed,PayPal,14.99
10094,6444,103,2024-01-12,Returned,PayPal,0.0
10095,5753,101,2024-01-12,Completed,Bank Transfer,14.99
10096,6175,101,2024-01-12,Completed,PayPal,24.99
10097,5046,108,2024-01-12,Completed,PayPal,0.0
10098,5077,102,2024-01-13,Returned,Bank Transfer,0.0
10099,5826,107,2024-01-13,Completed,Bank Transfer,0.0
10100,5229,105,2024-01-13,Completed,Apple Pay,0.0
10101,6120,102,2024-01-13,Completed,PayPal,0.0
10102,6441,106,2024-01-13,Completed,PayPal,0.0
10103,6068,108,2024-01-13,Completed,PayPal,0.0
10104,6043,108,2024-01-13,Returned,Store Financing,0.0
10105,5418,101,2024-01-13,Completed,Apple Pay,14.99
10106,5418,101,2024-01-13,Completed,Bank Transfer,9.99
10107,6265,105,2024-01-13,Returned,Bank Transfer,0.0
10108,5372,101,2024-01-13,Completed,PayPal,24.99
10109,6169,108,2024-01-13,Completed,PayPal,0.0
10110,5589,101,2024-01-13,Returned,Credit Card,9.99
10111,6005,101,2024-01-14,Completed,Bank Transfer,0.0
10112,5875,101,2024-01-14,Returned,Apple Pay,9.99
10113,6175,106,2024-01-14,Completed,PayPal,0.0
10114,5224,105,2024-01-14,Completed,Bank Transfer,0.0
10115,5466,101,2024-01-14,Completed,Store Financing,24.99
10116,5363,101,2024-01-14,Completed,Store Financing,14.99
10117,6119,103,2024-01-14,Returned,Apple Pay,0.0
10118,6167,101,2024-01-14,Completed,Bank Transfer,24.99
10119,6133,105,2024-01-15,Completed,PayPal,0.0
10120,6141,102,2024-01-15,Completed,Apple Pay,0.0
10121,5694,108,2024-01-15,Completed,Credit Card,0.0
10122,5098,101,2024-01-15,Completed,PayPal,9.99
10123,5850,102,2024-01-15,Completed,Credit Card,0.0
10124,5201,105,2024-01-15,Completed,PayPal,0.0
10125,6490,101,2024-01-15,Completed,Store Financing,9.99
10126,5959,101,2024-01-15,Completed,Bank Transfer,9.99
10127,5928,104,2024-01-16,Completed,PayPal,0.0
10128,5784,101,2024-01-16,Completed,Store Financing,0.0
10129,5421,103,2024-01-16,Completed,Apple Pay,0.0
10130,5641,101,2024-01-16,Completed,Credit Card,14.99
10131,6227,104,2024-01-16,Completed,Store Financing,0.0
10132,6119,103,2024-01-16,Completed,Credit Card,0.0
10133,5826,101,2024-01-16,Completed,Store Financing,9.99
10134,6014,101,2024-01-16,Returned,Bank Transfer,14.99
10135,6441,105,2024-01-17,Completed,Credit Card,0.0
10136,5229,101,2024-01-17,Completed,Apple Pay,24.99
10137,6472,108,2024-01-17,Completed,Bank Transfer,0.0
10138,5071,105,2024-01-17,Completed,Bank Transfer,0.0
10139,6453,101,2024-01-17,Completed,Credit Card,24.99
10140,5077,101,2024-01-17,Completed,Apple Pay,9.99
10141,5482,101,2024-01-17,Completed,Bank Transfer,24.99
10142,5751,102,2024-01-17,Returned,Bank Transfer,0.0
10143,5425,102,2024-01-17,Completed,Credit Card,0.0
10144,5355,108,2024-01-17,Completed,Store Financing,0.0
10145,5421,101,2024-01-18,Completed,PayPal,14.99
10146,5897,103,2024-01-18,Completed,Credit Card,0.0
10147,5482,101,2024-01-18,Completed,Apple Pay,14.99
10148,5021,101,2024-01-18,Completed,Store Financing,9.99
10149,5063,101,2024-01-18,Completed,Bank Transfer,0.0
10150,5505,102,2024-01-18,Returned,PayPal,0.0
10151,5751,101,2024-01-18,Completed,Store Financing,0.0
10152,5215,101,2024-01-18,Completed,Credit Card,14.99
10153,6229,101,2024-01-18,Completed,Bank Transfer,24.99
10154,5587,101,2024-01-18,Completed,Store Financing,0.0
10155,5025,101,2024-01-18,Completed,Store Financing,0.0
10156,6341,101,2024-01-19,Completed,Apple Pay,0.0
10157,6215,104,2024-01-19,Completed,Store Financing,0.0
10158,5577,101,2024-01-19,Completed,Bank Transfer,9.99
10159,5065,101,2024-01-19,Completed,Credit Card,14.99
10160,5986,101,2024-01-19,Completed,Store Financing,9.99
10161,5875,101,2024-01-19,Completed,PayPal,24.99
10162,6331,103,2024-01-19,Completed,Store Financing,0.0
10163,5318,107,2024-01-20,Completed,Credit Card,0.0
10164,5385,101,2024-01-20,Completed,Apple Pay,24.99
10165,6021,105,2024-01-20,Completed,Store Financing,0.0
10166,6453,102,2024-01-20,Completed,Bank Transfer,0.0
10167,5277,101,2024-01-20,Completed,PayPal,9.99
10168,6035,101,2024-01-20,Returned,PayPal,14.99
10169,6208,101,2024-01-20,Completed,Credit Card,9.99
10170,6498,107,2024-01-20,Completed,Credit Card,0.0
10171,5063,103,2024-01-20,Completed,Credit Card,0.0
10172,5869,101,2024-01-20,Completed,Credit Card,24.99
10173,6281,101,2024-01-20,Completed,Credit Card,14.99
10174,5860,104,2024-01-20,Cancelled,Store Financing,0.0
10175,6050,101,2024-01-20,Completed,PayPal,0.0
10176,5334,103,2024-01-21,Completed,Credit Card,0.0
10177,5614,101,2024-01-21,Completed,PayPal,0.0
10178,5013,103,2024-01-21,Completed,Credit Card,0.0
10179,5201,105,2024-01-21,Completed,Credit Card,0.0
10180,6285,105,2024-01-21,Completed,Apple Pay,0.0
10181,6172,107,2024-01-21,Completed,Apple Pay,0.0
10182,6435,101,2024-01-21,Completed,Bank Transfer,14.99
10183,5658,101,2024-01-21,Completed,Apple Pay,9.99
10184,5775,101,2024-01-21,Completed,Apple Pay,9.99
10185,5716,101,2024-01-21,Completed,Store Financing,9.99
10186,6043,107,2024-01-21,Completed,PayPal,0.0
10187,5589,101,2024-01-21,Completed,Apple Pay,24.99
10188,6423,101,2024-01-21,Completed,Apple Pay,24.99
10189,6343,102,2024-01-22,Completed,Credit Card,0.0
10190,6010,102,2024-01-22,Completed,Bank Transfer,0.0
10191,6156,107,2024-01-22,Completed,Credit Card,0.0
10192,5225,101,2024-01-22,Completed,Bank Transfer,9.99
10193,5915,101,2024-01-22,Completed,Apple Pay,24.99
10194,5418,102,2024-01-22,Completed,Apple Pay,0.0
10195,6171,101,2024-01-22,Completed,Bank Transfer,9.99
10196,5645,104,2024-01-22,Completed,Store Financing,0.0
10197,5038,101,2024-01-22,Completed,PayPal,14.99
10198,5077,101,2024-01-22,Returned,Store Financing,24.99
10199,5105,101,2024-01-22,Completed,Apple Pay,0.0
10200,5201,106,2024-01-23,Completed,PayPal,0.0
10201,5138,108,2024-01-23,Completed,PayPal,0.0
10202,6131,102,2024-01-23,Completed,Bank Transfer,0.0
10203,5635,106,2024-01-23,Completed,Credit Card,0.0
10204,5045,101,2024-01-23,Completed,PayPal,14.99
10205,6016,106,2024-01-23,Completed,PayPal,0.0
10206,5071,101,2024-01-23,Completed,Bank Transfer,24.99
10207,5170,101,2024-01-23,Completed,Apple Pay,14.99
10208,5579,101,2024-01-24,Completed,PayPal,14.99
10209,6050,101,2024-01-24,Completed,Credit Card,24.99
10210,5920,101,2024-01-24,Completed,Apple Pay,14.99
10211,6043,108,2024-01-24,Completed,PayPal,0.0
10212,5587,101,2024-01-24,Completed,Apple Pay,24.99
10213,6175,105,2024-01-24,Completed,PayPal,0.0
10214,5321,103,2024-01-24,Completed,Store Financing,0.0
10215,6086,101,2024-01-25,Completed,PayPal,9.99
10216,5225,108,2024-01-25,Completed,Apple Pay,0.0
10217,6429,101,2024-01-25,Cancelled,PayPal,0.0
10218,5363,101,2024-01-25,Completed,Store Financing,24.99
10219,5007,101,2024-01-25,Completed,Store Financing,24.99
10220,6281,102,2024-01-25,Completed,PayPal,0.0
10221,6170,102,2024-01-25,Completed,PayPal,0.0
10222,5786,101,2024-01-25,Completed,Apple Pay,9.99
10223,5021,101,2024-01-25,Completed,Store Financing,24.99
10224,5046,101,2024-01-26,Completed,Bank Transfer,14.99
10225,6491,101,2024-01-26,Completed,Apple Pay,0.0
10226,6262,101,2024-01-26,Cancelled,PayPal,24.99
10227,5077,101,2024-01-26,Completed,PayPal,0.0
10228,5509,101,2024-01-26,Completed,PayPal,24.99
10229,5464,101,2024-01-26,Completed,Store Financing,9.99
10230,5783,104,2024-01-26,Completed,Apple Pay,0.0
10231,5014,108,2024-01-26,Completed,Apple Pay,0.0
10232,5162,101,2024-01-26,Completed,Credit Card,14.99
10233,6131,101,2024-01-26,Completed,Store Financing,0.0
10234,5860,101,2024-01-26,Completed,Store Financing,24.99
10235,5912,103,2024-01-27,Cancelled,Credit Card,0.0
10236,5898,105,2024-01-27,Completed,Apple Pay,0.0
10237,6268,101,2024-01-27,Completed,PayPal,9.99
10238,5159,106,2024-01-27,Completed,Bank Transfer,0.0
10239,5100,101,2024-01-27,Completed,PayPal,24.99
10240,6119,101,2024-01-27,Completed,PayPal,24.99
10241,5224,105,2024-01-27,Completed,Store Financing,0.0
10242,5641,101,2024-01-27,Completed,Store Financing,24.99
10243,6357,106,2024-01-28,Completed,Store Financing,0.0
10244,6011,107,2024-01-28,Completed,PayPal,0.0
10245,5577,106,2024-01-28,Completed,Bank Transfer,0.0
10246,5597,102,2024-01-28,Completed,Apple Pay,0.0
10247,5544,104,2024-01-28,Completed,Credit Card,0.0
10248,5063,101,2024-01-28,Completed,Credit Card,24.99
10249,6230,102,2024-01-28,Completed,Credit Card,0.0
10250,6191,104,2024-01-28,Completed,Bank Transfer,0.0
10251,5594,103,2024-01-28,Completed,PayPal,0.0
10252,5025,104,2024-01-29,Cancelled,Bank Transfer,0.0
10253,5201,106,2024-01-29,Returned,Credit Card,0.0
10254,6137,101,2024-01-29,Completed,Apple Pay,9.99
10255,5372,101,2024-01-29,Completed,Credit Card,0.0
10256,6011,101,2024-01-29,Completed,Apple Pay,0.0
10257,6020,104,2024-01-29,Completed,PayPal,0.0
10258,5625,104,2024-01-29,Completed,Store Financing,0.0
10259,6381,101,2024-01-29,Completed,Apple Pay,0.0
10260,5318,101,2024-01-29,Completed,Credit Card,14.99
10261,5229,105,2024-01-29,Returned,PayPal,0.0
10262,5138,101,2024-01-29,Completed,Apple Pay,24.99
10263,6429,101,2024-01-30,Completed,PayPal,9.99
10264,5915,103,2024-01-30,Completed,Bank Transfer,0.0
10265,6263,101,2024-01-30,Completed,Bank Transfer,0.0
10266,5571,101,2024-01-30,Completed,PayPal,9.99
10267,5138,107,2024-01-30,Completed,Credit Card,0.0
10268,5379,101,2024-01-30,Completed,Apple Pay,9.99
10269,5529,101,2024-01-31,Completed,Store Financing,0.0
10270,5605,101,2024-01-31,Returned,Apple Pay,0.0
10271,5892,101,2024-01-31,Completed,Credit Card,14.99
10272,6381,101,2024-01-31,Completed,PayPal,9.99
10273,5421,104,2024-01-31,Completed,Apple Pay,0.0
10274,5369,101,2024-01-31,Completed,Credit Card,24.99
10275,6281,102,2024-01-31,Completed,Bank Transfer,0.0
10276,5201,101,2024-01-31,Completed,Apple Pay,24.99
10277,5170,101,2024-02-01,Completed,Credit Card,9.99
10278,6070,101,2024-02-01,Returned,Apple Pay,24.99
10279,5809,101,2024-02-01,Completed,Bank Transfer,9.99
10280,6033,101,2024-02-01,Completed,Apple Pay,14.99
10281,5389,101,2024-02-01,Completed,PayPal,9.99
10282,6011,107,2024-02-01,Completed,Bank Transfer,0.0
10283,6175,101,2024-02-01,Completed,Credit Card,24.99
10284,6124,102,2024-02-01,Completed,PayPal,0.0
10285,5738,101,2024-02-02,Cancelled,Store Financing,14.99
10286,5395,101,2024-02-02,Completed,Apple Pay,14.99
10287,5229,101,2024-02-02,Completed,PayPal,9.99
10288,6137,101,2024-02-02,Completed,Apple Pay,24.99
10289,6090,101,2024-02-02,Completed,Credit Card,9.99
10290,6422,101,2024-02-02,Completed,PayPal,14.99
10291,6326,103,2024-02-03,Completed,Apple Pay,0.0
10292,5225,101,2024-02-03,Completed,PayPal,0.0
10293,6498,101,2024-02-03,Completed,Bank Transfer,9.99
10294,5822,101,2024-02-03,Completed,Bank Transfer,0.0
10295,5859,101,2024-02-03,Completed,Bank Transfer,9.99
10296,6444,103,2024-02-03,Completed,Bank Transfer,0.0
10297,5635,106,2024-02-03,Completed,Credit Card,0.0
10298,5928,103,2024-02-03,Completed,Bank Transfer,0.0
10299,6175,106,2024-02-03,Completed,Apple Pay,0.0
10300,5405,101,2024-02-03,Completed,Store Financing,0.0
10301,5372,101,2024-02-03,Completed,Bank Transfer,24.99
10302,5332,101,2024-02-03,Completed,Bank Transfer,14.99
10303,6107,101,2024-02-03,Completed,Credit Card,14.99
10304,5848,101,2024-02-04,Completed,Credit Card,9.99
10305,5045,101,2024-02-04,Completed,Bank Transfer,0.0
10306,5720,102,2024-02-04,Completed,PayPal,0.0
10307,5606,108,2024-02-04,Completed,Bank Transfer,0.0
10308,5357,101,2024-02-04,Completed,Bank Transfer,24.99
