item_id,order_id,product_id,quantity,unit_price,discount_percent
50001,10001,1018,1,175.0,0.0
50002,10001,1004,2,160.0,0.0
50003,10001,1020,2,310.0,0.1
50004,10002,1015,2,890.0,0.0
50005,10002,1014,2,149.0,0.15
50006,10003,1011,1,520.0,0.0
50007,10004,1016,2,210.0,0.0
50008,10004,1008,1,240.0,0.0
50009,10005,1005,1,55.0,0.2
50010,10005,1017,1,45.0,0.15
50011,10005,1010,1,119.0,0.15
50012,10006,1019,1,260.0,0.0
50013,10007,1006,1,130.0,0.1
50014,10007,1012,1,49.0,0.1
50015,10008,1013,1,95.0,0.2
50016,10009,1004,1,160.0,0.05
50017,10010,1012,1,49.0,0.0
50018,10010,1002,1,680.0,0.0
50019,10011,1002,1,680.0,0.15
50020,10011,1015,1,890.0,0.1
50021,10011,1017,1,45.0,0.1
50022,10011,1008,1,240.0,0.0
50023,10011,1018,1,175.0,0.1
50024,10012,1002,1,680.0,0.1
50025,10012,1007,1,75.0,0.05
50026,10013,1004,1,160.0,0.05
50027,10014,1007,4,75.0,0.0
50028,10014,1019,1,260.0,0.0
50029,10014,1015,1,890.0,0.0
50030,10015,1008,1,240.0,0.1
50031,10015,1011,1,520.0,0.0
50032,10015,1009,2,320.0,0.0
50033,10016,1006,2,130.0,0.1
50034,10016,1003,1,89.0,0.2
50035,10017,1008,1,240.0,0.0
50036,10017,1007,1,75.0,0.0
50037,10017,1010,1,119.0,0.1
50038,10018,1006,1,130.0,0.1
50039,10018,1020,1,310.0,0.1
50040,10018,1019,1,260.0,0.15
50041,10019,1014,1,149.0,0.15
50042,10020,1001,1,450.0,0.0
50043,10020,1007,2,75.0,0.0
50044,10020,1019,1,260.0,0.05
50045,10021,1004,1,160.0,0.15
50046,10021,1003,3,89.0,0.1
50047,10021,1008,3,240.0,0.2
50048,10022,1020,1,310.0,0.0
50049,10023,1010,1,119.0,0.0
50050,10024,1005,1,55.0,0.1
50051,10024,1019,1,260.0,0.0
50052,10024,1010,1,119.0,0.1
50053,10025,1003,2,89.0,0.05
50054,10025,1011,2,520.0,0.0
50055,10025,1012,1,49.0,0.05
50056,10026,1019,1,260.0,0.0
50057,10027,1011,1,520.0,0.15
50058,10028,1003,1,89.0,0.3
50059,10028,1019,2,260.0,0.15
50060,10028,1015,1,890.0,0.0
50061,10029,1019,1,260.0,0.1
50062,10030,1001,1,450.0,0.0
50063,10030,1013,1,95.0,0.0
50064,10031,1007,2,75.0,0.2
50065,10031,1019,1,260.0,0.1
50066,10032,1018,1,175.0,0.15
50067,10033,1008,1,240.0,0.0
50068,10033,1007,1,75.0,0.15
50069,10033,1019,1,260.0,0.0
50070,10034,1013,2,95.0,0.2
